px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.21108	-13.0985	1.47147	2.07404	0	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0
7.16011	-13.2382	0	0	0	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
6.88472	-12.9588	2.33868	2.05915	0	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	0
6.84891	-13.1493	0	0	0	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.77424	-13.2337	2.01344	2.04391	0	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0
6.55759	-13.0679	0	0	0	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.40137	-13.0799	1.26682	2.02593	0	6.40137	-13.0799	6.4	-13.05	-2.72678	0	0
6.26174	-13.0534	0	0	0	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.10143	-13.0076	1.86783	2.00939	0	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0
5.94198	-12.9494	0	0	0	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
5.79854	-12.8478	3.18942	1.99475	0	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	0
5.65107	-12.7365	0	0	0	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.50547	-12.5721	1.68433	1.98355	0	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	0
5.43839	-12.652	0	0	0	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.27506	-12.4782	2.84649	1.97075	0	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0
5.1307	-12.4684	0	0	0	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.04446	-12.3808	2.36817	1.9577	0	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0
4.92985	-12.2499	0	0	0	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
4.75061	-11.9803	2.72149	1.94831	0	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0
4.75915	-12.0666	0	0	0	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.69113	-11.9084	2.86727	1.94606	0	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0
4.64378	-11.7442	0	0	0	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.59746	-11.6205	2.03943	1.94753	0	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	0
4.54975	-11.5706	0	0	0	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
4.47442	-11.3673	4.32322	1.94579	0	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	0
4.44059	-11.1496	0	0	0	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
4.43713	-11.024	1.82178	1.95345	0	4.43713	-11.024	4.45	-11.05	0	1.81614	0
4.45136	-10.93	0	0	0	4.45136	-10.93	4.45	-10.95	0	1.81612	0
4.44745	-10.786	2.64222	1.96189	0	4.44745	-10.786	4.45	-10.8	0	2.72555	0
4.45788	-10.6457	0	0	0	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
4.46329	-10.5756	2.50005	1.97015	0	4.46329	-10.5756	4.45	-10.5	0	2.729	0
4.44057	-10.3382	0	0	0	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
4.51895	-10.2367	2.26227	1.98651	0	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0
4.54925	-10.0439	0	0	0	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
4.63224	-9.9707	2.23426	2.00571	0	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0
4.63755	-9.74952	0	0	0	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
4.60757	-9.4335	2.34038	2.02514	0	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	0
4.74589	-9.4609	0	0	0	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
4.89179	-9.39473	1.62445	2.05086	0	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0
4.94849	-9.13867	0	0	0	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
4.95209	-8.96272	1.22863	2.07557	0	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0
5.04121	-8.94979	0	0	0	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
5.20806	-8.88942	1.33508	2.10076	0	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	0
5.26887	-8.63564	0	0	0	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
5.3785	-8.56768	0.66468	2.13138	0	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0
5.44864	-8.42738	0	0	0	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
5.56465	-8.44845	0.754614	2.15323	0	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	0
5.53862	-8.24357	0	0	0	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0
5.64921	-8.02513	0.747175	2.18416	0	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	0
5.85094	-7.95601	0	0	0	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0
5.93492	-7.84119	0.425811	2.21869	0	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	0
6.05986	-7.73559	0	0	0	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0
6.13741	-7.63243	0.362809	2.24805	0	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	0
6.25659	-7.54336	0	0	0	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0
6.39143	-7.46358	0.124766	2.27896	0	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0
6.452	-7.36418	0	0	0	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0
6.47916	-7.09783	0.570221	-0.830934	0	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0
